Label,Count
shortcut,2
autosave,2
http-request,2
gui-improvement,2
text-editing,2
task-list,2
code-maintenance,2
information-disclosure,2
extension-request,2
request,2
extension-development,2
permissions-issue,2
vscode-configuration,2
invalid-output,2
module-configuration,2
needs-debugging,2
cli-command,2
fetch-api,2
request-for-assistance,2
typing,2
network-issue,2
troubleshooting,2
steps-to-reproduce,2
operating-system-issue,2
missing-description,2
visual-studio-code,2
interface-issue,2
programming,2
debugging-help-needed,2
debug-needed,2
proof-of-work,2
default-setting,2
miniscript,2
rpc-call,2
rescan,2
export,2
tracing,2
infrastructure,2
testing-strategy,2
test-framework,2
operating-system-support,2
versioning,2
fuzz,2
network-info,2
privacy-enhancement,2
network-optimization,2
algorithm-improvement,2
configuration-file,2
threading,2
wallet-feature,2
tor-support,2
rpc-method,2
code-refactoring,2
configure-error,2
compilation-guide,2
api-availability,2
development-issue,2
potential-bug,2
makefile,2
expected-vs-actual-behavior,2
actual-behavior,2
system-information,2
data-corruption,2
restart-issue,2
docker,2
visual-studio,2
fee-optimization,2
cli-issue,2
test-data,2
sanitizer,2
permissions,2
intermittent,2
startup-issue,2
gui-issue,2
prune,2
data-race,2
failure-report,2
race-condition,2
open-source,2
contributor-guidelines,2
checklist-complete,2
pr-readiness,2
reproducer-code,2
status-update,2
feature-fix,2
functionality-issue,2
windows-support,2
checklist-compliant,2
typing-stubs,2
cmake-configuration,2
unspecified-error,2
matlab,2
numpy-array,2
feature-addition,2
open-source-contribution,2
color-conversion,2
image-manipulation,2
video-streaming,2
static-linking,2
c++-compilation,2
software-compatibility,2
build-issues,2
third-party-library-issue,2
library,2
opencv-issue,2
python-binding,2
library-support,2
dnn-error,2
code-contributions,2
interactive-tool,2
duplicate-identifier,1
error-call-stack,1
error-component-stack,1
github-api-error,1
devtools-extension,1
deprecated-feature,1
removal-issue,1
removal-error,1
node-removal,1
iframe,1
cross-frame,1
invalid-renderer-id,1
node-id-conflict,1
react-devtools-extension-error,1
local-build-failure,1
react-router-bug,1
redux-bug,1
browser-bug,1
transition-issue,1
pending-state,1
nested-calls,1
error-adding-node,1
react-version-specific,1
use-sync-external-store,1
hydration-mismatch,1
server-snapshot,1
snapshot,1
hermes-engine,1
stacktrace,1
error-removal,1
frequent-issue,1
react-devtools-bug,1
suspense-boundaries,1
nested,1
revelation,1
component-failure,1
error-call-stack-provided,1
react-devtools-issue,1
repro-steps,1
version-identifier,1
duplicate-node-error,1
standalone-app,1
launching-error,1
quitting-issue,1
cannot-read-properties-of-undefined,1
strictmode-error,1
cannot-add-node-error,1
component-parsing,1
possible-bug,1
component-props,1
boolean-value-loss,1
function-reference-loss,1
store-mismatch,1
component-issues,1
unresponsive-ui,1
component-tree-panel,1
reload-and-profile,1
disabled-feature,1
init-failure,1
console-log-issue,1
component-selection,1
inspection-tool,1
logic-bug,1
tree-context-error,1
context-change,1
chrome,1
event-handler,1
console-logging,1
console-dimming,1
hook-configuration,1
eslint-rule,1
linting-issue,1
dom,1
umd,1
package-installation-failure,1
yarn-configuration-error,1
debugging-tool-issue,1
mobile-simulator-issue,1
undefined-variable-error,1
reading-property-error,1
bridge-operation-error,1
framework-detection,1
highlighting-issue,1
react-component-issue,1
runtime-issue,1
nodejs-error,1
reproducible-bug,1
version-conflict,1
animation-conflict,1
react-native,1
fetch-api-error,1
unsupported-url-scheme,1
resource-management,1
id-conflict,1
react-18,1
concurrent-rendering,1
readability-error,1
code-example-provided,1
react-related,1
dependency-conflict,1
npm-install-failure,1
package-installation-issue,1
stacktrace-provided,1
react-devtools,1
blank-page,1
localhost-issue,1
update-related-issue,1
fetch-error,1
domain-mapped,1
local-ip,1
console-settings,1
frontend-backend-sync,1
inspector-error,1
cached-data-error,1
icon-availability,1
edge-devtools,1
media-events,1
editor-launch,1
component-inspection,1
proposal,1
api-feature-request,1
toolkit-utility,1
library-feature-request,1
pause-on-warnings,1
ux-enhancement,1
hover-effect,1
ui-visual-feedback,1
component-design,1
color-coding,1
systemjs,1
event-triggers,1
nested-values,1
type-hinting,1
developer-tool,1
devtool-issue,1
user-support,1
mobx,1
component-library,1
component-architecture,1
export-request,1
library-export,1
request-for-change,1
shallow-rendering,1
react-component-optimization,1
concurrency,1
component-communication,1
mount-order,1
error-throwing,1
rule-request,1
plugin-configuration,1
syntax-improvement,1
warning-improvement,1
testing-issues,1
proxy-support,1
react-children,1
javascript-proxy,1
type-coercion,1
provider,1
development-experience,1
dx,1
linting-error,1
suspense-loading,1
async-data-fetching,1
keyboard-event,1
w3c-specification,1
web-standards,1
profiler,1
rendertostring,1
onrender-callbacks,1
cache-optimization,1
dev-mode,1
preload,1
read,1
cache-provider,1
context-testing,1
performance-measurement,1
component-identification,1
component-positioning,1
comparability,1
event-properties,1
higher-order-component,1
cursor-behavior,1
input-field,1
onchange-event,1
purecomponent,1
getderivedstatefromprops,1
html-minification,1
hydration-issue,1
controlled-component,1
instrumentation,1
performance-tracking,1
api-proposal,1
lazy-loading,1
context-stack,1
synchronous-rendering,1
workaround-request,1
component-reuse,1
jsx-support,1
component-extensions,1
symbol-as-key,1
upgrade-path,1
global-state,1
render,1
hydration,1
prop-passing,1
cache-management,1
plugin-architecture,1
event-api,1
propagation,1
user-preference,1
performance-analysis,1
statistical-analysis,1
tool-request,1
perf-analysis,1
documentation-needed,1
type-safety,1
pragmatic-programming,1
event-handlers,1
loose-typing,1
nullability,1
conditional-binding,1
restriction-introduced,1
server-client-communication,1
convenience-feature,1
runtime-implementation,1
cross-component,1
ref-optimization,1
commit-hooks,1
async-api,1
publishing,1
package-format,1
attribute-support,1
custom-attributes,1
component-annotation,1
utility-method,1
type-checking,1
utility-function,1
traversal,1
tree-data-structure,1
warning-exposure,1
developer-experience,1
distribution,1
js-library,1
event-listeners,1
external-tools,1
mutation,1
fiber,1
subscription-management,1
async-rendering,1
optimization-ideas,1
api-ideas,1
user-feedback,1
reactjs,1
unmount,1
destroy,1
global-event-listeners,1
configuration-flag,1
dev-environment,1
test-suite,1
quality-improvement,1
style-update,1
browser-support,1
polyfill-request,1
client-side-rendering,1
component-rendering,1
css-styling,1
inline-styles,1
vendor-prefixing,1
css-variable-support,1
frontend-optimization,1
javascript-implementation,1
ui-component--improvement,1
dom-support,1
renderer-optimization,1
server-side-rendering-consideration,1
fallback-proposal,1
html,1
data-loss,1
page-refresh,1
reactjs-redux,1
redux-persist,1
localstorage,1
data-restoration,1
tooling-problem,1
starttransition,1
transition,1
cancellation,1
usememo,1
usestate,1
recomputing,1
initial-state,1
callback-execution,1
chrome-extension,1
io-blocking,1
multiple-renderers,1
array-rendering,1
api-request,1
devtool,1
renderer,1
canvas,1
frontend,1
selenium,1
testing-tool,1
tool-issue,1
react-configuration,1
version-incompatibility,1
react-hook,1
variable-updating,1
instance-variable,1
hook-behavior,1
not-for-issue-tracker,1
alternative-resources,1
external-link,1
monorepo,1
apollo-hooks,1
context-override,1
library-interaction,1
conflict-resolution,1
npm,1
screenshot-generation,1
initialization,1
programming-guideline,1
component-overlap,1
javascript-question,1
invalid-component,1
component-rendering-error,1
feature-interaction,1
subscription-interaction,1
suspense-interaction,1
refactoring-suggestion,1
component-filter,1
filtering-issue,1
regex-issue,1
suspense-api,1
usestate-hook,1
missing-documentation,1
rendering-order,1
default-settings,1
browser-settings,1
limitation,1
architecture-limitation,1
commit-phase,1
react-dom,1
unstable-api,1
batch-commit,1
rendering-phase,1
commit-phase-error,1
component-hierarchy,1
permission-access,1
security-concern,1
invalid-syntax,1
idiomatic-solution,1
component-lifecycle-methods,1
update-suggestion,1
coding-style,1
programming-approach,1
opinion-based,1
testing-library,1
act,1
class-component,1
animation-issue,1
javascript-issue,1
event-binding-issue,1
paging,1
max-depth-exceeded,1
uselayouteffect,1
reassignment,1
react-component-behavior,1
prop-behavior,1
component-state,1
scheduler,1
yielding,1
test-automation,1
update-detection,1
nested-contexts,1
provider-consumer-pattern,1
react-architecture,1
error-behavior,1
componentdidmount,1
customization-option,1
unmounted-component,1
react-state,1
composition-pattern,1
optimization-need,1
attribute-removal,1
silent-behavior,1
dom-tree,1
encapsulation,1
array-mapping,1
react-component-rendering,1
virtual-dom,1
reconciliation-avoidance,1
customization-api,1
api-discussion,1
timeout-expiration,1
suspense-rendering-issue,1
bitmask,1
limitation-report,1
state-initialization,1
render-prop,1
edge-browser,1
event-normalization,1
future-potential-bug,1
getting-started,1
feedback,1
framework-combination,1
editability-issue,1
type: issue,1
create-react-class,1
undefined-error,1
large-data,1
reproduction-step-provided,1
login-issue,1
http-error-500,1
authorization-issue,1
guidelines-policy,1
error-logging,1
code-debugging,1
mixed-precision-training,1
float16-training,1
checkpoint-conversion,1
ml-models,1
output-order,1
parameter-server,1
tf2.x,1
distributed-systems,1
python-version-mismatch,1
package-build-error,1
estimator-api,1
custom-objects,1
layer-serialization,1
example-code,1
model-output,1
codelibrary,1
c++-integration,1
python-cpp-interoperability,1
library-interop,1
data-augmentation,1
image-segmentation,1
model-augmentation,1
model-reproducibility,1
incompatible-input-shape,1
gan,1
outdated-dependency,1
alternative-solution-provided,1
mobile-support,1
cross-language-integration,1
compilation-optimization,1
parallel-processing-issue,1
protobuf-error,1
python-issue,1
compilation-problem,1
shuffle-flag,1
package-metadata-error,1
pip-error,1
tf.keras,1
average-pooling,1
pooling,1
migration-guide,1
exam-issue,1
technical-support,1
unavailable-resource,1
training-data-format,1
efficientnet,1
data-preparation,1
repo-access,1
google-colab,1
cloud-computing,1
collaboration,1
support-redirect,1
wasm-library,1
model-evaluation,1
data-loading,1
docs-issue,1
discontinued-support,1
tf-version,1
jacobian-vector-product,1
graph-execution,1
eager-execution,1
community-guidelines,1
toolchain-error,1
ci-information,1
plotting,1
loss-plots,1
ml-framework-issues,1
incompatibility-issues,1
accuracy-evaluation,1
pretrained-model,1
memory-requirements,1
model-size,1
multi-input-model,1
package-problems,1
mpi,1
multi-worker,1
ml-issues,1
missing-files,1
asynchronous-training,1
synchronous-training,1
parallel-training,1
training-result,1
optimization-warning,1
model-serialization,1
jit-trace-issue,1
data-preprocessing,1
mtk-platforms,1
tflite-issues,1
gpu-device-issues,1
tf.keras.layers.input,1
batch-size,1
dimension,1
input-shape,1
input-layer,1
dimensionality,1
shape,1
need-more-info,1
model-configuration,1
model-format,1
gradient-optimization,1
additional-parameters,1
error-importing-library,1
missing-ops,1
tflite-unsupported-ops,1
tf-select,1
custom-optimizer,1
save-load-error,1
tfjs-tflite,1
custom-model,1
multi-label-detection,1
label-detection,1
prediction-results,1
evaluation-issue,1
support-policy,1
model-predictions,1
cannot-import-name,1
code-size-reduction,1
machine-learning-library-optimization,1
reproduction-steps-needed,1
log-output-needed,1
404-error,1
resource-not-found,1
model-compatibility,1
tflite-issue,1
functionality-request,1
gradient-descent,1
macro-definition,1
power-optimization,1
energy-efficiency,1
tf.saved-model,1
memory-release,1
gc-collect,1
tf.keras.backend.clear-session,1
flops,1
data-reading,1
file-format,1
lite,1
docker-image,1
object-storage,1
third-party-support,1
pip-dependency,1
out-of-the-box-support,1
optimizer-issue,1
quantization-issue,1
debugging-request,1
machine-learning-model-issue,1
tf-lite-issue,1
compatibility-error,1
matrix-inverse,1
binary-downloading,1
version-support,1
archive-request,1
compiler-targets,1
embedded-systems,1
model-implementation,1
cross-language-communication,1
array-operations,1
datatype-support,1
fp8,1
code-provided,1
log-output,1
model-loading-issue,1
stuck-process,1
multiprocessing-issue,1
metric-behavior,1
precision-metric,1
tf-keras,1
tf-nightly,1
loss-function,1
dynamic-input-shape,1
delegate-implementation,1
version-reference,1
precision-control,1
tensorrt,1
fp16,1
fp32,1
compilation-options,1
training-optimization,1
weight-freezing,1
model-pruning,1
tf-optimization,1
cast-issue,1
documentation-improvement,1
clarify-api-behavior,1
suggest-api-change,1
proto-file-missing,1
wheel-issue,1
dependency-missing,1
reproduction-issues,1
color-management,1
clone-model-issue,1
keras-bug,1
model-cloning-error,1
tf-bug,1
value-error,1
mobilenet,1
model-spec,1
model-selection,1
dynamic-variable-initialization,1
stateful-models,1
tf-api-optimization,1
masking,1
tensor-processing,1
boolean-mask,1
ragged-boolean-mask,1
model-support,1
image-classification,1
tflite-conversion,1
model-names,1
name-mismatch,1
production-readiness,1
c-library,1
gtest,1
ml-inference,1
native-implementation,1
documentation-feature-request,1
gpu-cpu-transfer,1
tf-identity,1
documentation-missing-instructions,1
clarify-behavior,1
return-state,1
bidirectional-layer,1
distributed-computing,1
linker-issues,1
library-format,1
delegate-support,1
aarch64,1
dsp-delegate,1
inference-performance,1
type-constraint,1
datatype-limitation,1
clang-compiler,1
source-build,1
optimizer,1
gpu-detection,1
development-questions,1
resource-oom,1
tensor-flow-issue,1
metrics,1
accuracy,1
imbalanced-dataset,1
autodiff,1
padding-error,1
package-availability,1
platform-compatibility,1
linking-issue,1
height-measurement,1
activation-functions,1
on-device-training,1
arduino-ide,1
mobile-app-development,1
delegate-optimization,1
incompatible-aws-s3,1
python-wrapper,1
sparse-matrix,1
gpu-management,1
stream-execution,1
library-compilation,1
code-compilation,1
api-compilation,1
operation-unsupported,1
metric-request,1
machine-learning-metric,1
color-change,1
install-issue,1
pthread-issue,1
tflite-compilation,1
linux-issue,1
custom-label,1
angle-display,1
dynamic-batch-size,1
build-release,1
python-version-support,1
3d-computations,1
weight-decay,1
adamw,1
resize,1
downsample,1
data-processing,1
custom-layer,1
linear-combination,1
learnable-weights,1
gpu-memory-optimization,1
parameter-adding,1
improve-feedback,1
development-tooling,1
tf-vectorized-map,1
tf-operations,1
release-request,1
version-update,1
xla-support,1
tf-bincount,1
large-model-training,1
caching,1
tensor-operations,1
iteration-error,1
ensemble-methods,1
boosted-trees,1
statistics,1
numerical-solver,1
gradient-problem,1
tensor-conversion,1
numpy-function,1
cpp-api,1
graph-api,1
wrapper-request,1
layer-request,1
randomization,1
release-note,1
python-support,1
ragged-tensor,1
warm-start,1
pretrained-checkpoints,1
flexibility,1
efficiency,1
model-reuse,1
new-datatype,1
dtype-support,1
complex-numbers,1
tensor-manipulation,1
repetition,1
keyerror,1
unsqueeze-layer,1
onnx-to-keras-conversion,1
tensorflow-version-specific-issue,1
python-version-specific-issue,1
onnx-conversion-error,1
keras-layer-error,1
functionality-bug,1
variable-scope,1
unboundlocalerror,1
function-matching,1
predict,1
user-inputs,1
tensor-spec,1
keyword-arguments,1
positional-arguments,1
invalid-state,1
data-creation-error,1
resource-conflict,1
os-error,1
file-io-error,1
jit-compilation-error,1
shape-mismatch-error,1
tf.where-error,1
code-reusability,1
conciseness,1
extension-not-available,1
egl-issues,1
matmul,1
imprecision,1
pip-package,1
repair-wheel,1
manylinux2014,1
auditwheel,1
model-interpretation,1
nn-ops,1
android-issue,1
tf-error,1
matrix-diag-issue,1
overflow-when-running-tf-compat-v1-linalg-diag,1
resource-overflow,1
numeric-overflow,1
tensor-overflow,1
tf-compat-overflow,1
keras-layer-issue,1
tf-overflow-bug,1
code-bug,1
matrix-operations,1
tf-linalg,1
diagonal-matrix,1
cpu-issues,1
memory-optimization,1
cnn-related,1
padding-operation,1
tf-raw-ops,1
tensorflow-bug,1
tf-pad-issue,1
cpu-overflow,1
needs-testing,1
acceptance-issue,1
cudnn-error,1
allocation-failure,1
tf.keras.layers.maxpooling2d,1
gpu-memory-issue,1
memory-allocation-issue,1
tf-experimental,1
out-of-range-value,1
nan-error,1
grpc-error,1
tensor-flow-issues,1
unicode-issue,1
encoding-problem,1
tf2-bug,1
memory-error,1
null-pointer-error,1
memory-issues,1
tensorflow-related,1
typeerror,1
json-serialization,1
issue-type-bug,1
loss-function-issue,1
not-implemented-error,1
graph-execution-error,1
model-configuration-error,1
xla-issues,1
resource-access,1
uninitialized-variable,1
failed-precondition-error,1
mlir-test,1
dll-not-found,1
tensorflow-configuration,1
windows-configuration,1
tensorflow-exception,1
java-version-issue,1
int8-quantization,1
inference-issue,1
invalid-work-group-size,1
tflite-error,1
gpu-delegate-issue,1
mobile-device-issue,1
invalid-work-group-size-error,1
fp16-issue,1
reproduction-requirements,1
gpu-device-assignment,1
device-assignment-error,1
device-not-found-error,1
gpu-not-enabled-error,1
tpu-optimization,1
float-precision-issue,1
machine-learning-bug,1
serialization-issue,1
library-loading-error,1
missing-shared-object,1
cublas-error,1
cudnn,1
gpu-distributed-training,1
normalization-issue,1
division-by-zero,1
model-compilation,1
reduce-sum-issue,1
reproduction-confirmed,1
ml-model-error,1
incompatible-version,1
numpy-comparison,1
train-model-issues,1
invalid-input-error,1
image-processing-issue,1
code-exception,1
reproduce-issue,1
tensorflow-version,1
tf-data-issue,1
dataset-cache-warning,1
code-quality-issue,1
missing-include,1
include-path-issue,1
nnapi,1
cpu,1
accelerator,1
delegate,1
no-class-definition-error,1
android-issues,1
java-issues,1
reproduce-not,1
version-specific,1
gcc,1
tf-lite-converter,1
order-issue,1
tensor-type,1
unsupported-op,1
not-found-error,1
opencl-error,1
unknown-content-length,1
http-request-error,1
general-exception,1
type-description-missing,1
tensorboard-issue,1
resource-exhaustion,1
kernel-bug,1
soft-lockup,1
randomization-issue,1
os-platform-issue,1
python-version-issue,1
functional-bug,1
interpretation-error,1
tflite-support,1
image-segmenter,1
python-bug,1
readonly-directory,1
save-file,1
icon-rendering,1
status-bar-item,1
font-rendering-issue,1
focus-issue,1
accessibility-issue,1
widget-issue,1
editor-switching,1
debug-session,1
help-menu,1
mouse-interaction,1
editor-rendering,1
layout-rendering,1
layout-adjustment,1
design,1
coloring,1
breakpoint,1
dwarf,1
ide-issue,1
ui-visual-bug,1
diff-view-issue,1
keybinding-issue,1
terminal-commands,1
stuck-state,1
issue-with-ui,1
requires-repro-steps,1
sync,1
refresh,1
command,1
view,1
debug-controls,1
ui-visibility,1
keyboard-navigation,1
persistency,1
cell-decorations,1
status,1
diff,1
non-blocking-issue,1
icon,1
color,1
moved-code,1
code-intelligence,1
authentication,1
azure,1
microsoft-accounts,1
github.dev,1
write-operation,1
buffering,1
unbuffered-write,1
popup-issue,1
overlap-issue,1
restart-problem,1
stop-button-issue,1
log-management,1
file-location,1
process-scoped-logging,1
task-status,1
reconnection-issue,1
leak,1
rpc-protocol,1
copy-paste-issue,1
editor-behavior,1
windows,1
copy-paste-problem,1
overlap,1
native-tabs,1
tab-per-project,1
link-behavior,1
selection-issue,1
update-failure,1
server-not-reachable,1
connection-lost,1
ux-issue,1
error-trace,1
layout-problems,1
ssh,1
electron,1
uncaught-exception,1
size,1
preservation,1
resource-waste,1
